type,subtype,add,vectorizer1,model1,vectorizer2,model2,fold,time,f1_micro,f1_macro,b1,recall_micro,hamming,avg_labels_true,avg_labels_pred,config
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.3}",distilbert,logistic,,,0,4.978955984115601,0.3034973325429757,0.1359937405129969,0.301027676027676,0.3114355231143552,0.2092236467236467,2.6346153846153846,2.7724358974358974,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.3}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.3}",distilbert,logistic,,,1,4.978955984115601,0.301568154402895,0.1345137451234703,0.3041009627894873,0.3026634382566586,0.2109289617486338,2.7081967213114755,2.727868852459016,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.3}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.3}",distilbert,logistic,,,2,4.978955984115601,0.3014492753623188,0.1565893859581805,0.2999635899016704,0.3151515151515151,0.2072583419332645,2.554179566563468,2.7863777089783284,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.3}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.4}",distilbert,logistic,,,0,4.17393946647644,0.2542750929368029,0.0977554081179293,0.2496108058608059,0.2080291970802919,0.1785968660968661,2.6346153846153846,1.676282051282051,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.4}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.4}",distilbert,logistic,,,1,4.17393946647644,0.2452687358062074,0.0898759969789722,0.238615664845173,0.1961259079903147,0.1816029143897996,2.7081967213114755,1.6229508196721312,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.4}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.4}",distilbert,logistic,,,2,4.17393946647644,0.2337278106508875,0.0928800327397171,0.2240748931151407,0.1915151515151515,0.1781905744754042,2.554179566563468,1.631578947368421,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.4}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.5}",distilbert,logistic,,,0,4.10061502456665,0.1839080459770115,0.0658605259884332,0.174587912087912,0.1265206812652068,0.1643518518518518,2.6346153846153846,0.9903846153846154,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.5}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.5}",distilbert,logistic,,,1,4.10061502456665,0.2021466905187835,0.0735891533037695,0.1855893832943013,0.1368038740920097,0.1624772313296903,2.7081967213114755,0.9573770491803278,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.5}"
text,,"Tuning text | distilbert | logistic | {'balanced': False, 'threshold': 0.5}",distilbert,logistic,,,2,4.10061502456665,0.1687388987566607,0.0676488534964741,0.1501842842400118,0.1151515151515151,0.1609907120743034,2.554179566563468,0.9318885448916407,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced': False, 'threshold': 0.5}"
text,,"Tuning text | distilbert | svm | {'balanced': True, 'max_iter_svm': 3000}",distilbert,svm,,,0,66.05931997299194,0.2646744930629669,0.1675308598858834,0.2513659951159951,0.3017031630170316,0.2453703703703703,2.6346153846153846,3.371794871794872,"{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['svm'], 'balanced': True, 'max_iter_svm': 3000}"
