graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,0,254.0566923618317,0.2651522569274454,0.1202358153129037,0.2627452437369793,0.5484001620089105,0.4307277318640955,2.550619834710744,8.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,1,254.0566923618317,0.1894528837841175,0.0741991809871504,0.1840370835040344,0.3106520858647225,0.388711205875385,2.6321961620469083,6.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,2,254.0566923618317,0.3057887759611136,0.1282916461928064,0.2978627111464518,0.5614604462474645,0.3710001180776951,2.619553666312433,7.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,3,254.0566923618317,0.2813186813186813,0.1202768568627626,0.2692601426497942,0.5180089032780251,0.3836677226328757,2.6092925026399154,7.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,4,254.0566923618317,0.1671541997492687,0.059308863667382,0.1615908592529209,0.2425222312045271,0.3529932695713779,2.629117959617428,5.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,5,254.0566923618317,0.1894550679783353,0.080118171141813,0.1876564507554923,0.3464025869037995,0.4338539817773044,2.6347177848775294,7.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,6,254.0566923618317,0.2508296460176991,0.0824070370856728,0.2441730480070816,0.3669093851132686,0.3161764705882353,2.596638655462185,5.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,7,254.0566923618317,0.2860310421286031,0.1055434913861165,0.2847847158155341,0.4696601941747573,0.3421891604675877,2.626992561105207,6.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,8,254.0566923618317,0.2312050555676618,0.1018633399997395,0.2250419320878611,0.4292071197411003,0.4091858037578288,2.580375782881002,7.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
graphics,,"FINAL_TOP_2 | {'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}",resnet50,random_forest,,,9,254.0566923618317,0.1947069943289225,0.051191800392254,0.1798387369132049,0.2085020242914979,0.25177304964539,2.627659574468085,3.0,"{'type': 'graphics', 'vectorizers': ['resnet50'], 'models': ['random_forest'], 'balanced': True, 'n_estimators': 200, 'max_depth': 3, 'max_features_rf': 0.8}"
