type,subtype,add,vectorizer1,model1,vectorizer2,model2,fold,time,f1_micro,f1_macro,b1,recall_micro,hamming,avg_labels_true,avg_labels_pred,config
text,,,distilbert,svm,,,4,878.9641392230988,0.6067639257294429,0.5597692624706014,0.59917500075895,0.741190765492102,0.1391528804411592,2.607180570221753,3.7624076029567055,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['svm'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,svm,,,5,878.9641392230988,0.6049199273567772,0.5339323021279831,0.6010410367175695,0.7420008100445524,0.1405332393704486,2.609936575052854,3.792811839323467,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['svm'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,svm,,,6,878.9641392230988,0.6041356492969396,0.5421935059704364,0.6000861072214138,0.7392712550607288,0.1405332393704486,2.610993657505285,3.779069767441861,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['svm'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,svm,,,7,878.9641392230988,0.6133995037220844,0.5480847952365813,0.6090923112593303,0.7506072874493928,0.1372445384073291,2.610993657505285,3.779069767441861,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['svm'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,svm,,,8,878.9641392230988,0.6317713526088401,0.5831128135245124,0.627972186375992,0.7690129449838188,0.1301385952548743,2.613107822410148,3.748414376321353,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['svm'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,distilbert,svm,,,9,878.9641392230988,0.615874079035499,0.5572943750846022,0.6097549678416485,0.7439320388349514,0.1347192858820765,2.613107822410148,3.699788583509514,"{'type': 'text', 'balanced': True, 'vectorizers': ['distilbert'], 'models': ['svm'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,0,988.080108165741,0.6285064442759667,0.5639943580622511,0.6099336249811435,0.6696284329563813,0.1149829872110759,2.614572333685322,2.956705385427666,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,1,988.080108165741,0.6261558784676354,0.5800740218837942,0.6142338302317183,0.6700323101777059,0.1162149477883374,2.614572333685322,2.9809926082365363,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,2,988.080108165741,0.6331260599208592,0.5648706352373944,0.6255587249779435,0.6809890555330361,0.1142203449489616,2.60506863780359,2.998944033790919,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
text,,,tfidf,logistic,,,3,988.080108165741,0.6221719457013575,0.5512075161675686,0.6030195605169206,0.6688285366842318,0.1175642379443857,2.60506863780359,2.9957761351636747,"{'type': 'text', 'balanced': True, 'vectorizers': ['tfidf'], 'models': ['logistic'], 'max_features_tfidf': 20000, 'max_iter': 40, 'learning_rate_init': 0.001, 'max_depth': 5, 'max_iter_svm': 5000}"
