type,fold,fold_time,experiment,vectorizer1,vectorizer2,model1,model2,f1_micro,f1_macro,f1_samples,recall_micro,recall_macro,hamming,avg_labels_true,avg_labels_pred,predict sum,true sum,best_threshold,best_params,config,scaler,pca,pca_after_fusion
text,1,44.063,threshold_0.4,distilbert,,logistic,,0.6024343745417217,0.5414201329353221,0.6012456804034629,0.8319157553665452,0.808689268023334,0.1605662165363658,2.6321961620469083,4.637526652452026,4350,2469,0.4,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,1,44.063,threshold_0.5,distilbert,,logistic,,0.6176901775533474,0.5590146244699091,0.6155232353526596,0.7679222357229648,0.7559110781653806,0.1390073442312248,2.6321961620469083,3.9125799573560767,3670,2469,0.5,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,1,44.063,threshold_0.6,distilbert,,logistic,,0.6332794830371568,0.5809181328046215,0.6291207371164727,0.7144592952612394,0.7127615115869101,0.121002132196162,2.6321961620469083,3.307036247334755,3102,2469,0.6,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,1,44.063,threshold_0.7,distilbert,,logistic,,0.628968253968254,0.5888089239104012,0.6140980613795112,0.6419603078169299,0.6554226769323965,0.1107557450841033,2.6321961620469083,2.7409381663113006,2571,2469,0.7,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,2,39.114,threshold_0.1,distilbert,,logistic,,0.4537942824579732,0.3947187639076301,0.4533295311441214,0.9691683569979715,0.9282208187769416,0.3395324123273113,2.619553666312433,8.569606801275238,8064,2465,0.1,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,2,39.114,threshold_0.2,distilbert,,logistic,,0.5208166989848295,0.457208817014578,0.5211835012313227,0.9261663286004056,0.8900124301404992,0.2480221986066832,2.619553666312433,6.6971307120085015,6302,2465,0.2,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,2,39.114,threshold_0.3,distilbert,,logistic,,0.5697127937336814,0.5052456279597635,0.5696336784009473,0.8851926977687626,0.8522461710164537,0.1945920415633487,2.619553666312433,5.520722635494155,5195,2465,0.3,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,2,39.114,threshold_0.4,distilbert,,logistic,,0.599883347914844,0.5391349352145709,0.5993172903374817,0.8344827586206897,0.8156140932079688,0.1620025977092927,2.619553666312433,4.668437832093518,4393,2465,0.4,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,2,39.114,threshold_0.5,distilbert,,logistic,,0.6243744955609363,0.5655539427684626,0.6223572094454134,0.7845841784989858,0.7717069136187866,0.1373833982760656,2.619553666312433,3.9638682252922415,3730,2465,0.5,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
text,2,39.114,threshold_0.6,distilbert,,logistic,,0.6305983518452167,0.5795604275932433,0.6209539250453172,0.7139959432048681,0.7141933172250675,0.1217381036722163,2.619553666312433,3.312433581296493,3117,2465,0.6,"{'estimator__C': 1.0, 'estimator__class_weight': 'balanced'}","{'type': 'text', 'vectorizers': ['distilbert'], 'models': ['logistic'], 'balanced_list': [True, True], 'thresholds_text': [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7], 'thresholds_graphics': [None], 'outer_cv': 10, 'inner_cv': 3, 'use_threshold_grid': True, 'use_model_grid': True, 'grid': [{'estimator__C': [0.01, 0.1, 1.0, 10.0], 'estimator__class_weight': [None, 'balanced']}, {}], 'save_more_metadata': True, 'all_thresholds': True}",,,
